drug,disease,score
170,47,0.9993318915367126
523,124,0.9993304014205932
621,376,0.9993239641189576
67,371,0.9993231296539308
461,228,0.9993075132369996
102,99,0.9992807507514954
589,347,0.9992662072181702
657,382,0.9992623925209044
268,89,0.9992130994796752
12,94,0.99919992685318
462,54,0.9991838335990906
328,371,0.999178946018219
135,99,0.9991716146469116
570,138,0.9991672039031982
578,358,0.9991564750671388
459,208,0.9991366267204284
369,240,0.9991311430931092
275,131,0.9991208910942078
351,228,0.9991117119789124
154,24,0.9990921020507812
199,56,0.999091386795044
619,145,0.9990808963775636
193,7,0.999052345752716
340,222,0.9990443587303162
354,99,0.999017596244812
22,232,0.9990158081054688
619,124,0.999014139175415
337,271,0.9990010857582092
237,99,0.9989711046218872
587,16,0.9989444613456726
29,243,0.9988666772842408
643,134,0.998809814453125
293,371,0.9987622499465942
462,237,0.9987002611160278
199,25,0.9986814856529236
268,280,0.9986574649810792
241,244,0.9986572265625
439,89,0.998646080493927
137,405,0.9986398816108704
569,184,0.9986308217048644
88,405,0.998610258102417
29,1,0.9985970854759216
397,182,0.9985881447792052
570,382,0.9985224604606628
335,371,0.9984601736068726
154,129,0.9984400868415833
36,181,0.998399555683136
461,163,0.9983896017074584
202,365,0.9983696341514589
418,371,0.9983500242233276
346,371,0.9982730150222778
439,322,0.998271942138672
524,358,0.9982557892799376
508,103,0.9982171654701232
552,228,0.9982162117958068
268,402,0.9982138872146606
457,99,0.998213529586792
500,4,0.9981932044029236
202,228,0.9981787204742432
275,241,0.9981639981269836
268,396,0.9981508851051332
266,124,0.9981366395950316
595,371,0.9981129169464112
369,188,0.998108983039856
625,322,0.9981001019477844
90,151,0.9980800151824952
135,117,0.9980660080909728
387,183,0.9980077147483826
275,11,0.997974932193756
115,371,0.9979684948921204
114,405,0.997899293899536
352,267,0.9978764057159424
118,89,0.99787437915802
352,125,0.9978690147399902
539,124,0.9978673458099364
437,153,0.9978207349777222
387,147,0.9978199005126952
280,82,0.9978185892105104
292,99,0.997812032699585
462,151,0.9977853298187256
30,64,0.9977693557739258
165,99,0.9977527260780334
390,371,0.9977485537528992
537,358,0.997688889503479
284,280,0.9976624250411988
415,135,0.9976524710655212
430,308,0.9976128339767456
572,334,0.9976084232330322
46,382,0.997584342956543
604,255,0.9975239634513856
421,124,0.9974963068962096
213,274,0.99748432636261
256,362,0.9974791407585144
392,99,0.9974710941314696
524,347,0.9974400997161864
397,129,0.9974259734153748
461,52,0.9974250793457032
357,88,0.9973948001861572
46,21,0.9973873496055604
413,34,0.997386634349823
421,405,0.9973280429840088
99,408,0.9972766041755676
19,149,0.9972118735313416
572,405,0.9972065091133118
71,138,0.9971845746040344
567,129,0.997174859046936
576,244,0.9971596002578736
202,21,0.9971556663513184
461,396,0.9971503615379332
157,347,0.9971486926078796
12,61,0.997078776359558
358,28,0.9970422387123108
252,243,0.997003138065338
19,124,0.9969922304153442
587,239,0.9968993663787842
657,163,0.9968690276145936
170,152,0.9968633651733398
468,331,0.9968501925468444
75,76,0.9968122839927672
87,153,0.99680757522583
508,132,0.9967953562736512
186,181,0.9967873096466064
256,359,0.9967831373214722
109,89,0.996678113937378
369,405,0.9966711401939392
369,340,0.9966138005256652
244,239,0.9965567588806152
179,405,0.9965548515319824
467,188,0.9965219497680664
9,3,0.996519923210144
337,12,0.99650639295578
317,188,0.9964269995689392
536,322,0.9963924288749696
90,280,0.9963886737823486
369,177,0.9963305592536926
263,350,0.9963096976280212
509,365,0.9963052272796632
571,280,0.996277391910553
8,328,0.9962614178657532
357,221,0.9962136149406432
362,196,0.9962068796157836
19,405,0.9961953163146972
140,191,0.9961833357810974
584,117,0.996174931526184
223,322,0.996105968952179
256,358,0.9960904717445374
551,134,0.9960261583328248
190,181,0.9959532022476196
340,371,0.995952010154724
356,350,0.9958861470222472
484,224,0.9958350658416748
586,163,0.995805025100708
608,376,0.9957969188690186
275,127,0.9957842230796814
589,358,0.9957555532455444
370,405,0.9957354068756104
470,389,0.9957296252250672
500,243,0.9956923127174376
459,280,0.995660126209259
518,20,0.9956555366516112
268,335,0.9956543445587158
262,163,0.9955077171325684
489,280,0.9954458475112916
557,404,0.995434582233429
551,37,0.9954138398170472
120,124,0.9953985810279846
29,392,0.9953747391700744
109,350,0.9953669309616088
587,97,0.9953250885009766
248,174,0.9952322840690612
63,1,0.9951802492141724
239,371,0.9950135350227356
66,228,0.9950097799301147
372,117,0.9949841499328612
169,149,0.9949697852134703
268,186,0.9949012994766236
441,11,0.994897186756134
306,224,0.9948740601539612
587,78,0.9948731064796448
40,127,0.994809627532959
484,208,0.9947903156280518
576,75,0.994742751121521
534,130,0.9947236776351928
258,316,0.9946789741516112
193,262,0.9946751594543456
589,359,0.9944905042648317
314,103,0.9944189786911012
539,68,0.9943625926971436
530,404,0.994345724582672
439,99,0.9943404197692872
608,99,0.9943126440048218
57,316,0.9943090677261353
372,89,0.9942438006401062
386,305,0.9942176342010498
551,81,0.994175672531128
3,221,0.994174063205719
636,181,0.9941478967666626
275,109,0.9941124320030212
268,196,0.9941008687019348
29,73,0.994071900844574
242,89,0.993991196155548
248,311,0.9939874410629272
482,221,0.9939002990722656
430,62,0.9938814640045166
415,1,0.9938701391220092
449,24,0.9938644766807556
464,94,0.9938498139381408
99,351,0.9938421249389648
138,37,0.9937474727630616
241,341,0.9936833381652832
555,280,0.9936362504959106
22,61,0.9935970306396484
587,106,0.9933373928070068
323,405,0.9932832717895508
587,197,0.9932142496109008
23,401,0.9932063817977904
413,53,0.9931865930557252
462,272,0.9931843876838684
382,151,0.993164598941803
241,271,0.9931193590164183
188,8,0.9931188821792604
574,124,0.9929746389389038
468,24,0.9928911924362184
587,102,0.9928528666496276
620,168,0.9928383231163024
164,177,0.9927961230278016
166,117,0.9927796721458436
628,99,0.992700695991516
199,54,0.992637038230896
358,212,0.9925659894943236
255,119,0.9925130605697632
61,224,0.9924967288970948
14,3,0.9924058318138124
581,405,0.992346167564392
254,134,0.9922133088111876
430,174,0.9921556115150452
140,173,0.992147982120514
90,70,0.9921218156814576
567,251,0.992111325263977
581,138,0.9920924305915833
303,95,0.9920493960380554
48,188,0.9919586181640624
640,382,0.991886019706726
367,89,0.9918654561042786
199,236,0.9917211532592772
170,174,0.9916709661483764
502,258,0.9916077852249146
121,0,0.991606593132019
9,232,0.99160635471344
275,121,0.9916011691093444
233,322,0.9915635585784912
11,181,0.9915531277656556
275,101,0.9914078116416932
266,162,0.9913766384124756
175,222,0.9913011193275452
184,243,0.9912378191947936
403,280,0.9912242889404296
207,24,0.9911881685256958
546,146,0.9911346435546876
527,318,0.9910978674888612
430,341,0.991068720817566
387,358,0.9910221695899964
576,13,0.990995228290558
412,162,0.9909721612930298
22,341,0.990884244441986
389,314,0.99081951379776
227,54,0.9907841682434082
568,135,0.9907827973365784
587,139,0.990587592124939
209,314,0.990581512451172
662,401,0.9904341697692872
175,371,0.9904252886772156
65,396,0.9903726577758788
619,16,0.9902659058570862
86,118,0.9901410937309264
524,362,0.990057408809662
501,99,0.9899423122406006
205,37,0.98985493183136
147,28,0.989815354347229
636,376,0.9896103143692015
569,162,0.9895971417427064
135,115,0.9895639419555664
21,7,0.989379107952118
48,251,0.9893691539764404
275,24,0.9893507361412048
387,38,0.989318549633026
347,117,0.9892526268959044
400,269,0.9889801740646362
558,153,0.9888450503349304
624,176,0.9888172149658204
636,99,0.9888168573379515
587,73,0.9888098835945128
11,376,0.9885894060134888
506,347,0.98855721950531
245,382,0.9885070323944092
527,41,0.9882785081863404
219,124,0.9882215857505798
539,334,0.9881763458251952
145,1,0.9880995154380798
569,273,0.98807692527771
574,81,0.9879872798919678
170,147,0.9878796935081482
430,271,0.987874448299408
12,232,0.9878224730491638
461,8,0.9877585768699646
171,182,0.9876694083213806
369,251,0.987641453742981
74,371,0.9876060485839844
186,376,0.9875224232673644
193,99,0.9875166416168212
374,12,0.9875001311302184
307,8,0.9874845147132874
430,223,0.987437665462494
438,25,0.9874322414398192
565,404,0.9873383045196532
558,3,0.9871963262557985
467,271,0.9871894717216492
426,131,0.9870600700378418
326,99,0.9869301319122314
90,155,0.9868831038475036
464,8,0.986847460269928
383,188,0.9867553114891052
387,27,0.986600935459137
261,129,0.9865901470184326
30,133,0.9864956140518188
369,305,0.9864740371704102
99,10,0.9864552021026612
578,362,0.9864330887794496
66,81,0.986417293548584
146,118,0.9863442182540894
244,222,0.9862879514694214
408,149,0.9862568974494934
227,20,0.9861591458320618
485,162,0.9860736131668092
299,221,0.986004650592804
56,149,0.9860013723373412
12,283,0.985980987548828
387,78,0.9858970046043396
261,153,0.9858353734016418
212,99,0.9854987859725952
645,199,0.9853169322013856
627,44,0.9853017926216124
248,118,0.985197365283966
502,3,0.9851626753807068
133,351,0.9850731492042542
248,21,0.9850072264671326
275,363,0.984946608543396
587,331,0.984918475151062
157,362,0.9848315715789796
350,124,0.9847378134727478
284,20,0.9847192764282228
621,181,0.984567165374756
537,371,0.9845376014709472
558,306,0.9842914342880248
48,177,0.9842203855514526
19,125,0.9841312766075134
225,188,0.9839692115783693
49,99,0.9839529395103456
620,48,0.9838119149208068
307,39,0.9837849140167236
493,56,0.9835934042930604
556,208,0.9834327697753906
9,61,0.9832466244697572
217,316,0.9830309152603148
86,267,0.9829626083374025
641,345,0.9829351305961608
193,152,0.9829148054122924
65,18,0.9828922748565674
462,320,0.9827238917350768
481,27,0.982566773891449
315,1,0.9825100302696228
369,27,0.9823692440986632
200,405,0.9821734428405762
9,405,0.982147216796875
659,314,0.9820634126663208
608,181,0.9819653630256652
227,350,0.9818670749664308
31,125,0.9818279147148132
468,224,0.9816996455192566
224,149,0.981627643108368
329,188,0.9815711379051208
606,24,0.9814922213554382
461,47,0.9814567565917968
362,405,0.9812507033348083
248,68,0.981172740459442
90,245,0.9811235070228576
31,49,0.9810241460800172
430,4,0.9807693958282472
328,66,0.9807009696960448
543,99,0.980503797531128
560,190,0.9803923964500428
323,119,0.9803767204284668
176,331,0.9802380800247192
275,247,0.98006010055542
459,16,0.9800102114677428
370,269,0.9799694418907166
341,65,0.9799356460571288
527,40,0.979800283908844
153,280,0.9797748327255248
309,89,0.979115903377533
518,168,0.9790685176849364
511,371,0.9790626764297484
163,204,0.978941798210144
289,153,0.9789386987686156
314,89,0.9789320826530457
328,147,0.9789308309555054
464,129,0.9789303541183472
173,8,0.9788947105407716
210,125,0.9788282513618468
587,5,0.9786615371704102
268,351,0.9786480665206908
459,55,0.9786062836647034
227,345,0.97853821516037
410,228,0.9784599542617798
352,133,0.9783305525779724
138,1,0.9782336354255676
587,186,0.9781780242919922
241,189,0.9781535863876344
500,56,0.9781360030174256
567,182,0.9781070351600648
633,328,0.9780755639076232
7,241,0.9776727557182312
518,331,0.9774861335754396
227,218,0.9773679971694946
202,302,0.9772348999977112
455,366,0.9771561622619628
46,404,0.9770494103431702
227,105,0.977048933506012
427,297,0.9770390391349792
121,199,0.9770109057426452
552,264,0.97700172662735
71,28,0.9769670963287354
500,228,0.9769080877304076
523,405,0.976733922958374
36,376,0.976704716682434
372,228,0.9766878485679626
358,398,0.9764503836631776
505,245,0.976405680179596
157,359,0.9763720631599426
40,376,0.9761967658996582
242,199,0.9761264324188232
473,280,0.9759904742240906
453,345,0.97592031955719
75,138,0.975902497768402
537,362,0.9758456349372864
556,151,0.9756873846054076
294,188,0.9753374457359314
288,405,0.9751811623573304
198,132,0.9751386642456056
208,99,0.974981129169464
256,371,0.9748305678367616
609,188,0.9744821190834044
175,100,0.9743340611457824
46,229,0.9741888642311096
587,287,0.973975658416748
462,25,0.9738852381706238
314,350,0.9738116264343262
40,128,0.9737319350242616
267,265,0.9732311367988586
543,297,0.9731925129890442
596,155,0.9729888439178468
241,113,0.9728962182998656
210,7,0.9728127121925354
505,331,0.9727851152420044
551,1,0.9725961685180664
364,177,0.9724653959274292
435,289,0.9724316596984864
1,133,0.972404420375824
308,379,0.9721768498420716
245,29,0.972165822982788
543,332,0.9720852971076964
571,208,0.971875011920929
48,78,0.9718448519706726
213,65,0.971802830696106
194,163,0.9717024564743042
380,3,0.9716812968254088
83,360,0.971648097038269
453,105,0.9716104865074158
464,78,0.9714378714561462
221,280,0.9714213609695436
617,1,0.9713040590286256
331,100,0.9711029529571532
14,283,0.9710633158683776
462,85,0.9710614085197448
616,188,0.9710203409194946
593,378,0.970796287059784
24,49,0.9707096815109252
9,124,0.9706596732139589
387,244,0.9706345200538636
312,124,0.9705840945243835
556,272,0.9705231189727784
438,65,0.970502495765686
261,124,0.9700449109077454
193,67,0.9698731303215028
175,280,0.969620168209076
420,81,0.9696067571640016
48,3,0.9693153500556946
505,277,0.9692548513412476
1,60,0.9688210487365724
596,25,0.9686578512191772
284,24,0.9685243368148804
26,88,0.9684457182884216
323,228,0.968438684940338
387,371,0.9682750105857848
518,48,0.968137800693512
5,89,0.9680398106575012
241,131,0.9679903388023376
495,405,0.9678759574890136
90,222,0.9673650860786438
407,129,0.96732360124588
643,37,0.9671517610549928
618,94,0.9670936465263368
351,127,0.9670355319976808
110,276,0.9668949842453004
241,101,0.9668416380882264
213,19,0.96668940782547
136,89,0.9665869474411012
449,130,0.9665281772613524
132,117,0.9664830565452576
328,351,0.9664599895477296
382,277,0.9663931727409364
248,146,0.9660142660140992
292,138,0.965887486934662
328,55,0.9658851027488708
430,44,0.965316355228424
551,325,0.9650208950042723
655,401,0.9649624824523926
633,117,0.9648948907852172
462,144,0.9647974371910096
227,25,0.9645470976829528
279,28,0.9644362926483154
584,99,0.964363694190979
190,99,0.9642877578735352
284,54,0.9642136693000792
518,360,0.9642115831375122
241,105,0.96378892660141
176,245,0.963624894618988
146,322,0.9631900191307068
277,89,0.9625688791275024
55,328,0.9625417590141296
543,319,0.9622056484222412
6,124,0.9621631503105164
342,250,0.962057650089264
429,376,0.9619616866111756
571,329,0.9615914225578308
174,144,0.9614316821098328
241,132,0.9613215327262878
275,73,0.9613203406333924
140,133,0.9611678719520568
75,81,0.9611670970916748
99,0,0.9608830213546752
241,252,0.9608818292617798
369,346,0.960563063621521
143,251,0.9604715704917908
359,38,0.9603212475776672
241,330,0.9602753520011902
12,3,0.9602465033531188
153,113,0.960208296775818
331,1,0.960176408290863
70,151,0.9601386189460754
353,48,0.9600377082824708
166,28,0.959930181503296
118,396,0.959930181503296
241,255,0.959548830986023
327,298,0.9593206644058228
641,331,0.9592422246932985
195,89,0.9592275619506836
587,27,0.9592199921607972
46,124,0.9592167139053344
571,1,0.959145486354828
352,76,0.9590955972671508
29,122,0.9590216875076294
262,314,0.9588362574577332
387,89,0.9587284922599792
193,394,0.95861554145813
150,222,0.9585860967636108
248,404,0.9583294987678528
558,168,0.9582101702690125
351,51,0.9580802917480468
202,127,0.9579602479934692
71,74,0.9579460620880128
205,1,0.9578309655189514
1,221,0.9577236771583556
260,382,0.9576152563095092
109,141,0.9575414657592772
351,53,0.9574974179267884
40,181,0.9573227763175964
268,298,0.9572384357452391
524,359,0.957149088382721
587,335,0.9570452570915222
490,149,0.956935465335846
86,243,0.9568362236022948
576,164,0.9568023681640624
537,359,0.956773579120636
37,69,0.9567492604255676
228,221,0.9566760063171388
90,208,0.9565355181694032
275,350,0.9564449787139891
248,28,0.9562621712684632
464,251,0.9562568068504332
587,355,0.9560406804084778
357,405,0.955846667289734
129,280,0.955314576625824
114,382,0.9551628828048706
220,360,0.9551524519920348
110,48,0.9550853371620178
387,105,0.9549957513809204
61,89,0.9549415707588196
55,145,0.9547263979911804
624,16,0.9546428322792052
598,50,0.954503893852234
164,146,0.9544309377670288
316,99,0.9544058442115784
331,396,0.9542648196220398
170,170,0.954258382320404
292,311,0.954135239124298
276,401,0.9540942907333374
341,399,0.9540289044380188
337,222,0.9539808034896852
70,331,0.953290581703186
500,199,0.9532052874565125
599,125,0.9524680376052856
90,274,0.9523937702178956
518,113,0.9521549344062804
439,316,0.9516021609306335
461,212,0.9515736699104308
48,39,0.9515311121940612
331,166,0.9515081644058228
416,222,0.9513702392578124
461,160,0.95125812292099
500,303,0.9510625004768372
86,149,0.951041579246521
596,20,0.9508836269378662
241,329,0.9507948160171508
462,218,0.9507794380187988
439,55,0.9507686495780944
55,124,0.9507036805152892
462,101,0.9505625367164612
576,47,0.9496491551399232
479,163,0.9494557976722716
189,311,0.9494139552116394
213,218,0.9493961334228516
445,117,0.9493705630302428
364,182,0.9492945075035096
268,131,0.9492567777633668
75,199,0.9490116238594056
383,100,0.9486550092697144
95,24,0.9486045837402344
649,222,0.9485442042350768
47,298,0.9483367204666138
268,255,0.9481959342956544
339,157,0.9481839537620544
245,7,0.9481320977211
587,356,0.9479104280471802
275,48,0.947790265083313
268,289,0.9475528597831726
312,221,0.9475001096725464
413,51,0.9473236799240112
109,12,0.9472710490226746
398,88,0.9467532634735109
315,37,0.9467120170593262
435,377,0.9462236762046814
305,157,0.9458889961242676
615,138,0.9454670548439026
275,202,0.9454491138458252
343,188,0.9450444579124452
56,117,0.9448836445808412
263,375,0.944844663143158
83,252,0.9447542428970336
354,181,0.9445648789405824
387,11,0.944386661052704
587,44,0.9442225098609924
271,130,0.9438256025314332
387,8,0.9433855414390564
493,55,0.9431742429733276
593,7,0.9430186152458192
479,124,0.9430164098739624
493,12,0.9429739713668824
321,328,0.9429069757461548
489,277,0.9428421258926392
449,329,0.9425170421600342
103,381,0.9421935081481934
17,30,0.9416664838790894
501,322,0.94154554605484
460,247,0.9414010047912598
434,377,0.941193163394928
534,103,0.9409441947937012
578,359,0.940894901752472
458,351,0.9408363699913024
171,94,0.9408298134803772
87,351,0.9408037662506104
248,164,0.9407801032066344
123,329,0.9405689239501952
428,188,0.9404388070106506
94,24,0.9401504397392272
559,1,0.9400441646575928
473,27,0.9399505853652954
411,89,0.939824879169464
604,199,0.9394577741622924
420,164,0.9390987157821656
176,144,0.939095973968506
258,188,0.9389172792434692
387,208,0.9388601183891296
70,114,0.938556969165802
140,375,0.9382962584495544
314,8,0.9373566508293152
312,81,0.936931610107422
624,44,0.9368308186531068
70,277,0.9362951517105104
241,2,0.9362322092056274
120,119,0.9361395835876464
170,115,0.9360083341598512
241,55,0.9356358647346495
276,80,0.9353739023208618
90,331,0.935335099697113
260,162,0.9351953864097596
41,405,0.935171902179718
413,52,0.9350772500038148
371,125,0.9349969029426576
95,25,0.934881627559662
19,310,0.9344404935836792
407,94,0.9344362616539
18,321,0.9336318969726562
383,120,0.933606743812561
532,298,0.933446168899536
215,334,0.9331983923912048
426,73,0.9326667189598083
229,106,0.9325205683708192
500,302,0.9320207238197328
176,70,0.931750476360321
245,99,0.9309874773025512
478,314,0.9304879903793336
356,266,0.93019837141037
123,396,0.9301649332046508
570,404,0.92936372756958
154,196,0.9290129542350768
268,97,0.9279510378837584
176,274,0.9277034401893616
209,76,0.9274269938468932
479,405,0.9273251295089722
314,12,0.9270420670509338
248,378,0.926947832107544
65,24,0.9265574216842652
244,172,0.9264671802520752
624,156,0.9263268113136292
21,49,0.925930917263031
22,132,0.9258787631988524
248,36,0.925546169281006
282,276,0.9254627227783204
313,341,0.9253641963005066
36,89,0.9252333641052246
662,92,0.9251367449760436
154,85,0.9251057505607604
87,231,0.9245961904525756
400,163,0.923777163028717
430,243,0.9237502217292786
535,404,0.92374187707901
569,1,0.9237208366394044
337,347,0.9236412048339844
31,89,0.9232652187347412
64,46,0.9229559302330016
574,396,0.9229347109794616
306,345,0.9222357273101808
350,145,0.9219942688941956
633,271,0.9216434359550476
306,19,0.9214045405387878
30,15,0.9213002920150756
289,168,0.9210879802703856
439,347,0.9208378195762634
369,190,0.9206362366676332
518,208,0.9202089309692384
587,375,0.9201776385307312
571,135,0.9201748371124268
352,332,0.919860303401947
500,55,0.919422447681427
314,44,0.9192182421684264
213,24,0.9192008972167968
369,115,0.9191899299621582
571,105,0.9189890027046204
420,89,0.91887766122818
305,68,0.9188395142555236
166,37,0.9185391068458556
347,243,0.9181641936302184
505,330,0.9178408980369568
83,274,0.9174623489379884
536,351,0.9174001812934875
135,164,0.9173257350921632
546,401,0.917287290096283
280,91,0.9170220494270324
583,20,0.9170190691947936
483,224,0.9170122742652892
587,6,0.9169800877571106
102,376,0.9167744517326356
569,53,0.9167547821998596
646,124,0.9165127873420716
113,76,0.9162939786911012
581,124,0.916261911392212
567,305,0.9161869883537292
648,176,0.9152600169181824
114,124,0.915197491645813
164,131,0.9151630997657776
257,228,0.9150145053863524
340,89,0.9148454666137696
109,379,0.9144499897956848
401,103,0.9141557812690736
340,8,0.9135010242462158
353,231,0.9131815433502196
264,107,0.9126428365707396
372,127,0.9123765230178832
387,12,0.9123190641403198
23,83,0.9118295907974244
75,89,0.9116544127464294
426,302,0.9114876985549928
75,7,0.911249041557312
279,382,0.9106017351150512
502,283,0.9105623960494996
263,243,0.910439670085907
292,162,0.9103139042854308
202,210,0.9102274775505066
49,382,0.9100053906440736
588,37,0.9099547266960144
58,331,0.9098579287528992
40,255,0.9096141457557678
90,156,0.9094384908676147
498,399,0.9087215065956116
166,1,0.9084943532943726
468,245,0.9084214568138124
124,239,0.9082286953926086
64,125,0.9081810712814332
467,16,0.9076629281044006
365,135,0.9075997471809388
421,404,0.9075114130973816
453,277,0.9074819684028624
306,237,0.9071439504623412
454,221,0.907059907913208
278,94,0.906988799571991
48,228,0.9067058563232422
363,88,0.9066115021705629
143,405,0.9065223336219788
125,379,0.9064484238624572
321,146,0.906431257724762
552,162,0.9059618711471558
42,405,0.90592223405838
95,54,0.905095875263214
584,7,0.9050225615501404
37,94,0.9049947261810304
633,351,0.9049410223960876
168,280,0.9046549201011658
489,257,0.9045795202255248
239,127,0.9044485092163086
83,103,0.90389221906662
453,245,0.9035303592681884
430,372,0.9032992124557496
438,224,0.9026615619659424
287,133,0.9019930958747864
587,117,0.9017252326011658
303,21,0.9014785885810852
454,119,0.901354432106018
615,36,0.901223599910736
470,239,0.9012194275856018
19,75,0.9008916020393372
242,396,0.9007225036621094
493,141,0.9004836678504944
342,71,0.9001761078834534
567,221,0.8999451994895935
413,8,0.8990013003349304
461,122,0.8989765048027039
129,277,0.8988440632820129
454,3,0.8983694314956665
543,378,0.8980218768119812
331,366,0.8979827165603638
258,8,0.8979343771934509
571,330,0.897876501083374
123,351,0.8977965712547302
124,208,0.8977822661399841
267,101,0.8977392315864563
142,149,0.896880567073822
401,24,0.8966207504272461
46,12,0.8963717222213745
455,149,0.8962839245796204
586,89,0.8960468769073486
587,178,0.8959934711456299
152,120,0.8959712386131287
42,124,0.8959391117095947
421,21,0.8958455324172974
252,351,0.8955799341201782
140,45,0.8953037261962891
27,351,0.8950343132019043
61,8,0.8947049975395203
41,18,0.8947007656097412
137,241,0.8944451808929443
461,51,0.8941651582717896
103,380,0.8940736055374146
282,153,0.8939618468284607
461,75,0.8935614228248596
225,340,0.8935570120811462
170,127,0.8935215473175049
600,94,0.89286208152771
604,132,0.89279705286026
369,325,0.8926962614059448
358,365,0.8926757574081421
441,211,0.891110897064209
578,298,0.8908501863479614
101,128,0.8906535506248474
170,325,0.8905606865882874
434,380,0.8904514908790588
543,323,0.8902976512908936
312,119,0.8901902437210083
495,174,0.8899848461151123
149,405,0.8899494409561157
449,144,0.8897589445114136
83,257,0.8897021412849426
171,129,0.8893502950668335
587,168,0.889301061630249
83,351,0.8891717195510864
31,115,0.8885500431060791
500,12,0.8883137702941895
571,156,0.8882556557655334
531,329,0.8881385326385498
202,0,0.8874311447143555
61,151,0.8869816660881042
245,174,0.8866287469863892
554,117,0.8861402869224548
238,1,0.8858926892280579
110,351,0.8858871459960938
500,126,0.8857918977737427
500,89,0.8846704363822937
461,138,0.8846032619476318
507,82,0.8834538459777832
227,151,0.8831751942634583
210,294,0.8826940655708313
0,306,0.8825857639312744
225,322,0.8813747763633728
123,197,0.8811898231506348
61,244,0.8810597062110901
75,313,0.8809912204742432
249,206,0.8804073929786682
621,103,0.8800985217094421
518,172,0.8800143003463745
592,401,0.8799043893814087
237,350,0.8798214197158813
455,1,0.8796771168708801
1,138,0.8792327046394348
224,347,0.8792165517807007
441,192,0.879127562046051
275,99,0.8790699243545532
493,109,0.8788771033287048
226,49,0.878810465335846
358,303,0.8783460855484009
170,1,0.8782146573066711
249,264,0.8777734637260437
604,341,0.8773655891418457
207,329,0.877237856388092
40,183,0.8771422505378723
141,221,0.8770671486854553
424,128,0.8770633935928345
153,20,0.8767367005348206
397,94,0.8766430616378784
486,354,0.8759515881538391
10,117,0.8757302761077881
424,392,0.8753198981285095
225,105,0.8752459287643433
131,314,0.8751419186592102
227,104,0.8748600482940674
274,331,0.8747957348823547
583,176,0.8744699954986572
552,265,0.8740382790565491
506,99,0.8740247488021851
126,117,0.8740207552909851
459,89,0.873967170715332
0,3,0.8739001750946045
168,239,0.8738142251968384
166,76,0.8730918765068054
349,272,0.8725695610046387
387,186,0.8718858361244202
453,144,0.8712117671966553
99,7,0.8704706430435181
640,162,0.8701262474060059
434,289,0.8701181411743164
140,262,0.8697977662086487
